School Name,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Town,School
Bellingham - Bellingham Early Childhood Center,250003.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0, 00250003,2.7,2.7,1.8,89.1,0.0,0.9,2.7,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250003.0,1.0,0.9,0.0,0.0,40.0,36.4,51.0,46.4,24.0,21.8,     104,0.0,,,,,,Bellingham,Bellingham Early Childhood Center
Bellingham - Bellingham High School,250505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,158.0,149.0,145.0,130.0,0.0,763.0, 00250505,2.4,3.0,4.7,87.4,0.3,0.0,2.2,52.2,47.8,      86,     144,41.0,32.0,13.0,0.0,0.0,,18.0,53.0,36.0,30.0,7.0,49.3,50.7,     554,3.0,0.5,0.0,2.1,0.0,0.0,       139,92.8,5.8,0.0,0.0,1.4,0.0,174.0,122.0,70.1,0.0,29.5,18.0,52.5,13.1,29.5,15.6,SCIENCE AND TECH/ENG,191.0,61.0,39.0,13.0,152.0,49.0,99.0,32.0,22.0,7.0,312.0,83.9,,,554.0,,548.0,250505.0,29.0,3.8,11.0,1.4,144.0,18.9,246.0,32.2,132.0,17.3,     766,21.0,0.7,2.2,0.0,0.0,0.0,Bellingham,Bellingham High School
Bellingham - Bellingham Memorial School,250315.0,0.0,0.0,0.0,0.0,0.0,188.0,172.0,189.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0, 00250315,1.9,3.9,4.2,87.8,0.3,0.0,1.9,49.1,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,94.0,51.0,30.0,16.0,64.0,35.0,65.0,36.0,24.0,13.0,183.0,78.3,,,,,,250315.0,36.0,5.0,7.0,1.0,122.0,17.0,229.0,31.8,129.0,17.9,     723,0.0,,,,,,Bellingham,Bellingham Memorial School
Bellingham - Keough Memorial Academy,250510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,8.0,9.0,0.0,34.0, 00250510,0.0,0.0,11.8,88.2,0.0,0.0,0.0,55.9,41.2,,,,,,,,,,,,,,,,      31,2.0,6.5,0.0,10.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250510.0,0.0,0.0,0.0,0.0,34.0,100.0,34.0,100.0,13.0,38.2,      48,0.0,,,,,,Bellingham,Keough Memorial Academy
Bellingham - Primavera Junior/Senior High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellingham,Primavera Junior/Senior High School
Bellingham - South Elementary,250020.0,0.0,75.0,80.0,83.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0, 00250020,1.2,1.2,4.5,91.3,0.0,0.6,1.2,51.3,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250020.0,5.0,1.5,4.0,1.2,45.0,13.4,104.0,31.0,78.0,23.3,     348,0.0,,,,,,Bellingham,South Elementary
Bellingham - Stall Brook,250025.0,0.0,81.0,81.0,70.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0, 00250025,3.1,1.6,3.7,86.6,0.0,2.2,2.8,51.2,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250025.0,18.0,5.6,14.0,4.3,48.0,14.9,109.0,33.9,62.0,19.3,     350,0.0,,,,,,Bellingham,Stall Brook
Belmont - Belmont High,260505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,331.0,302.0,330.0,0.0,1294.0, 00260505,4.2,17.5,3.7,69.9,0.1,0.1,4.6,48.5,51.5,     494,"   1,093",190.0,128.0,95.0,53.0,28.0,,18.0,58.0,219.0,362.0,436.0,7.0,93.0,"   1,264",2.0,0.2,0.0,0.0,0.3,0.3,       293,97.6,1.0,0.0,0.0,1.4,0.0,275.0,237.0,86.2,0.0,66.7,4.6,28.7,3.8,3.4,12.2,SCIENCE AND TECH/ENG,253.0,92.0,168.0,61.0,85.0,31.0,21.0,8.0,2.0,1.0,276.0,96.6,,,616.0,,634.0,260505.0,232.0,17.9,20.0,1.5,94.0,7.3,210.0,16.2,99.0,7.7,"   1,277",26.0,0.1,2.0,0.0,0.0,0.0,Belmont,Belmont High
Belmont - Daniel Butler,260015.0,0.0,66.0,88.0,71.0,87.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0, 00260015,3.1,26.0,7.2,55.4,0.5,0.0,7.7,54.4,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260015.0,112.0,28.9,62.0,16.0,31.0,8.0,116.0,29.9,42.0,10.8,     382,0.0,,,,,,Belmont,Daniel Butler
Belmont - Mary Lee Burbank,260010.0,0.0,74.0,72.0,67.0,87.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0, 00260010,3.2,19.5,4.0,63.4,0.0,0.5,9.4,50.8,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260010.0,75.0,20.1,47.0,12.6,23.0,6.1,89.0,23.8,19.0,5.1,     379,0.0,,,,,,Belmont,Mary Lee Burbank
Belmont - Roger E Wellington,260035.0,65.0,91.0,117.0,114.0,118.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0, 00260035,1.9,15.5,3.2,69.9,0.0,0.0,9.4,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260035.0,145.0,23.2,74.0,11.8,73.0,11.7,179.0,28.6,50.0,8.0,     681,0.0,,,,,,Belmont,Roger E Wellington
Belmont - Winn Brook,260005.0,0.0,89.0,96.0,96.0,96.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0, 00260005,2.0,25.9,3.7,60.6,0.2,0.0,7.6,53.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260005.0,122.0,24.9,78.0,15.9,35.0,7.1,125.0,25.5,17.0,3.5,     483,0.0,,,,,,Belmont,Winn Brook
Belmont - Winthrop L Chenery Middle,260305.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,361.0,343.0,346.0,0.0,0.0,0.0,0.0,0.0,1421.0, 00260305,3.9,17.8,4.9,66.7,0.1,0.1,6.5,49.1,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,514.0,78.0,199.0,30.0,315.0,48.0,129.0,20.0,12.0,2.0,655.0,92.0,,,,,,260305.0,357.0,25.1,55.0,3.9,132.0,9.3,311.0,21.9,128.0,9.0,"   1,381",13.0,0.9,0.1,0.0,0.0,0.0,Belmont,Winthrop L Chenery Middle
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,4200205.0,22.0,49.0,48.0,46.0,47.0,47.0,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0, 04200205,84.7,0.8,11.0,2.0,0.0,0.0,1.4,49.4,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,28.0,68.0,13.0,32.0,15.0,37.0,11.0,27.0,2.0,5.0,41.0,86.6,,,,,,4200205.0,65.0,18.4,18.0,5.1,51.0,14.4,220.0,62.1,188.0,53.1,     354,13.0,2.3,2.0,0.0,0.0,0.0,Benjamin Banneker Charter Public (District),Benjamin Banneker Charter Public School
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,4470205.0,0.0,50.0,50.0,50.0,50.0,51.0,52.0,50.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,443.0, 04470205,2.3,22.6,3.6,67.5,0.0,0.0,4.1,48.5,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,68.0,69.0,17.0,17.0,51.0,52.0,24.0,24.0,6.0,6.0,98.0,86.7,,,,,,4470205.0,87.0,19.6,24.0,5.4,55.0,12.4,109.0,24.6,30.0,6.8,     455,6.0,0.7,0.7,0.0,0.0,0.0,Benjamin Franklin Classical Charter Public (District),Benjamin Franklin Classical Charter Public School
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205.0,0.0,59.0,60.0,50.0,53.0,38.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0, 35110205,14.5,3.7,48.6,31.1,0.0,0.0,2.0,50.7,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,3.0,8.0,0.0,0.0,3.0,8.0,18.0,47.0,17.0,45.0,38.0,48.0,,,,,,35110205.0,112.0,37.8,56.0,18.9,51.0,17.2,225.0,76.0,198.0,66.9,     268,4.0,,,,,,Bentley Academy Charter School (District),Bentley Academy Charter School
Berkley - Berkley Community School,270010.0,66.0,77.0,89.0,93.0,88.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0, 00270010,0.4,0.2,0.9,95.1,0.2,0.0,3.2,48.6,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270010.0,4.0,0.8,4.0,0.8,74.0,14.0,158.0,29.9,96.0,18.1,     546,2.0,,,,,,Berkley,Berkley Community School
